Year of arrival at port of disembarkation,Total embarked,Total disembarked
1593,52,39
1594,5,4
1594,98,73
1594,389,326
1594,190,159
1594,56,42
1594,129,96
1594,54,40
1594,49,41
1595,32,24
1595,397,317
1595,180,134
1610,214,159
1609,128,107
1609,143,120
1609,181,135
1610,380,304
1610,143,120
1610,355,284
1611,167,124
1612,359,287
1613,359,287
1613,359,287
1617,397,317
1617,413,331
1618,481,220
1620,359,287
1620,481,385
1620,621,462
1612,371,297
1612,346,277
1612,147,123
1612,413,331
1613,330,264
1615,204,152
1614,359,287
1614,359,287
1614,359,287
1614,359,287
1615,282,210
1615,191,142
1615,142,106
1616,413,331
1616,34,25
1617,222,165
1617,156,116
1617,238,177
1617,220,164
1617,142,106
1617,254,189
1617,236,176
1617,169,126
1617,215,160
1617,212,158
1617,50,40
1618,481,385
1618,629,468
1619,659,468
1618,338,271
1618,413,331
1618,329,263
1618,335,268
1618,329,263
1619,447,358
1619,381,305
1619,346,277
1620,376,300
1620,208,174
1620,246,183
1620,640,512
1620,397,317
1620,196,157
1620,584,467
1621,420,386
1620,360,268
1620,413,330
1620,413,331
1621,363,290
1621,204,152
1621,443,330
1621,323,258
1621,430,320
1621,436,349
1621,256,205
1621,235,175
1621,481,385
1621,326,261
1621,374,299
1622,256,205
1622,452,286
1622,413,331
1622,200,160
1622,194,155
1622,413,331
1622,256,205
1622,265,212
1799,130,128
1795,51,45
1759,8,
1724,53,
1783,116,103
1621,420,336
1533,224,166
1586,359,287
1585,397,287
1583,185,287
1585,359,287
1794,512,300
1783,400,366
1737,352,255
1532,25,20
1586,359,287
1587,291,246
1590,242,180
1595,386,309
1595,229,192
1595,140,117
1595,312,250
1595,159,133
1595,279,223
1595,287,230
1595,196,146
1595,594,497
1595,275,205
1596,338,270
1596,152,127
1596,361,269
1596,296,236
1596,167,124
1596,510,408
1596,371,297
1596,456,364
1596,417,333
1596,498,398
1596,419,336
1596,338,270
1597,318,237
1597,289,248
1597,259,235
1597,289,242
1597,171,143
1597,207,173
1597,192,161
1597,202,150
1597,197,147
1597,267,199
1597,36,27
1597,157,117
1597,208,157
1597,434,323
1597,211,157
1597,339,284
1597,184,137
1597,201,168
1597,130,109
1597,215,180
1598,413,331
1598,233,195
1598,144,107
1598,113,95
1598,156,116
1598,420,352
1598,240,201
1598,203,170
1598,204,152
1598,206,153
1598,281,241
1598,344,288
1598,173,145
1598,241,202
1598,227,190
1598,381,319
1598,137,115
1598,182,152
1598,168,141
1599,199,167
1599,370,317
1599,225,188
1599,207,154
1599,167,140
1599,214,179
1599,244,204
1599,199,167
1599,372,311
1599,272,228
1599,228,191
1599,299,250
1599,116,97
1599,222,186
1599,240,201
1599,189,158
1599,190,159
1599,180,151
1599,259,193
1599,389,326
1599,304,226
1599,327,274
1599,188,140
1600,247,184
1600,201,168
1600,212,158
1600,248,208
1600,223,187
1600,330,276
1600,207,173
1600,191,142
1600,232,194
1600,361,302
1600,105,88
1600,151,126
1600,330,276
1600,247,207
1600,324,271
1600,203,170
1600,237,198
1600,176,147
1600,263,220
1600,302,253
1600,247,207
1601,346,290
1601,125,105
1601,239,178
1601,167,140
1601,291,233
1601,269,200
1601,227,190
1601,242,180
1601,220,164
1601,304,226
1601,371,297
1601,356,285
1601,430,344
1601,329,263
1601,356,285
1601,347,278
1601,338,270
1601,338,270
1601,346,277
1596,447,358
1597,371,297
1598,413,331
1598,338,270
1598,371,297
1598,384,307
1598,371,297
1599,430,344
1599,375,300
1599,392,314
1599,338,270
1599,384,307
1599,206,287
1599,384,307
1600,375,300
1600,319,255
1600,343,274
1600,363,290
1600,384,307
1601,357,286
1601,382,305
1601,386,309
1661,338,291
1671,338,291
1672,429,369
1671,338,291
1670,338,291
1742,294,270
1748,297,273
1700,43,37
1701,60,52
1715,349,300
1715,321,275
1724,455,400
1725,465,400
1762,323,302
1767,313,271
1769,303,279
1769,250,216
1784,150,130
1784,313,271
1784,313,271
1784,323,302
1784,313,271
1792,376,325
1792,373,323
1792,35,32
1808,303,279
1668,215,187
1667,338,291
1668,216,186
1668,250,215
1668,217,187
1668,143,123
1668,244,210
1668,177,152
1668,338,291
1669,455,391
1669,147,126
1764,74,64
1784,313,271
1785,313,271
1786,1,1
1669,230,200
1674,455,384
1671,150,129
1660,478,411
1660,338,291
1660,328,285
1658,259,207
1701,7,6
1705,474,417
1705,474,417
1749,303,279
1755,313,271
1733,185,160
1756,303,279
1741,303,279
1785,303,279
1770,323,302
1761,323,302
1741,303,279
1784,303,279
1783,313,271
1615,283,245
1772,303,279
1598,280,241
1664,382,331
1753,231,199
1646,330,264
1758,263,240
1679,468,403
1684,600,516
1686,388,300
1688,150,129
1687,363,311
1691,555,477
1692,468,403
1694,468,403
1695,468,403
1694,468,403
1697,446,383
1696,468,403
1697,468,403
1697,468,403
1697,363,311
1699,468,403
1699,363,311
1699,468,403
1699,363,311
1699,450,386
1700,468,403
1699,468,403
1700,525,450
1700,363,311
1700,468,403
1700,468,403
1700,171,153
1700,189,162
1700,363,311
1700,363,311
1699,468,403
1701,127,117
1700,363,311
1699,400,343
1699,363,311
1700,363,311
1700,468,403
1701,500,429
1700,468,403
1699,363,311
1701,211,192
1701,468,403
1702,468,403
1701,153,132
1702,363,311
1702,363,311
1702,363,311
1702,468,403
1705,468,403
1709,468,403
1709,384,330
1711,363,311
1710,468,403
1711,363,311
1711,468,403
1711,363,311
1712,468,403
1711,468,403
1711,468,403
1713,363,311
1712,468,403
1713,468,403
1715,19,16
1714,468,403
1713,468,403
1715,68,58
1714,468,403
1713,363,311
1713,363,311
1714,363,311
1715,363,311
1715,468,403
1715,468,403
1715,363,311
1715,363,311
1715,468,403
1714,468,403
1715,363,311
1715,147,126
1716,192,165
1714,468,403
1716,468,403
1716,468,403
1717,363,311
1716,468,403
1715,468,403
1715,468,403
1716,468,403
1717,127,117
1715,468,403
1716,468,403
1716,468,403
1715,363,311
1717,468,403
1718,363,311
1717,468,403
1717,363,311
1717,468,403
1717,363,311
1719,429,368
1717,127,117
1718,468,403
1717,468,403
1719,468,403
1719,468,403
1719,200,172
1720,468,403
1719,468,403
1719,363,311
1718,468,403
1718,468,403
1719,468,403
1720,468,403
1721,363,311
1719,127,117
1720,468,403
1720,468,403
1720,363,311
1720,468,403
1722,468,403
1720,468,403
1721,468,403
1721,468,403
1722,468,403
1721,468,403
1724,468,403
1725,174,160
1726,468,403
1731,310,277
1729,468,403
1772,,
1790,530,447
1790,177,159
1790,189,170
1790,264,226
1791,202,165
1792,246,208
1792,188,154
1792,270,221
1792,248,233
1795,196,187
1795,191,169
1795,370,312
1795,448,427
1795,339,301
1796,211,174
1797,206,170
1797,210,186
1797,264,223
1797,262,221
1798,206,185
1799,222,187
1799,197,163
1799,244,206
1802,169,152
1802,179,148
1802,289,250
1802,197,170
1802,178,170
1802,223,193
1802,227,196
1802,200,180
1802,171,148
1803,216,187
1803,189,163
1803,444,384
1803,213,174
1803,289,260
1803,512,442
1803,300,236
1804,237,205
1804,198,171
1788,230,158
1805,255,220
1805,172,149
1819,239,217
1819,274,248
1819,396,359
1819,164,149
1819,241,215
1819,210,190
1819,219,209
1818,172,167
1819,259,224
1819,82,73
1806,182,149
1806,183,150
1810,180,162
1810,264,237
1810,71,62
1810,243,204
1810,136,113
1810,206,186
1810,219,209
1810,162,154
1810,331,298
1810,196,163
1810,202,177
1810,209,199
1809,121,106
1809,303,262
1809,140,133
1810,72,69
1810,435,376
1810,201,169
1810,290,261
1810,330,270
1810,224,188
1810,163,145
1810,78,68
1810,313,281
1810,170,140
1810,108,103
1810,163,137
1810,461,411
1809,372,321
1809,76,68
1810,407,333
1810,127,114
1810,418,361
1810,80,72
1810,371,312
1810,230,207
1811,126,120
1810,205,170
1811,159,152
1811,184,175
1811,84,80
1811,125,105
1811,119,106
1811,271,258
1811,75,66
1811,263,238
1811,387,334
1811,279,274
1811,158,151
1811,269,232
1811,183,154
1811,196,165
1811,164,144
1811,107,96
1811,145,127
1811,949,820
1811,446,401
1811,249,224
1812,323,271
1812,109,96
1812,73,63
1812,250,219
1812,80,76
1812,168,151
1812,131,116
1812,233,204
1812,80,70
1812,272,235
1812,364,319
1812,158,139
1812,535,481
1812,284,255
1812,146,128
1812,118,112
1812,187,164
1812,145,131
1813,238,209
1812,245,215
1813,323,271
1813,220,185
1813,240,214
1813,201,176
1813,262,255
1813,72,70
1813,388,326
1813,311,280
1813,75,71
1813,227,199
1814,187,182
1814,92,81
1814,198,189
1814,268,241
1814,227,191
1814,84,80
1814,58,55
1814,186,163
1814,85,75
1814,300,263
1814,247,220
1815,640,572
1815,115,101
1815,399,335
1815,141,137
1815,381,320
1815,197,173
1815,271,222
1815,162,142
1815,137,120
1815,131,115
1815,293,246
1815,201,181
1815,293,246
1815,58,52
1815,220,193
1815,227,199
1815,238,209
1815,291,255
1815,122,107
1815,511,429
1815,257,216
1815,318,279
1815,386,324
1815,210,204
1815,362,328
1815,326,286
1815,136,119
1815,329,320
1815,176,154
1815,164,144
1816,401,390
1815,263,256
1815,511,457
1816,584,535
1816,366,321
1816,152,136
1816,256,244
1816,248,218
1816,115,112
1816,299,269
1816,300,286
1816,101,89
1816,395,355
1816,170,162
1816,350,302
1816,130,124
1816,211,185
1815,195,171
1816,456,400
1816,435,382
1816,98,93
1816,306,257
1816,421,354
1816,259,227
1816,233,204
1816,135,118
1816,283,275
1816,268,260
1816,383,336
1816,232,195
1816,380,319
1816,75,71
1816,274,240
1816,299,251
1816,337,283
1816,233,210
1816,253,222
1816,234,205
1816,393,345
1816,304,295
1816,199,175
1816,377,317
1816,358,319
1816,378,314
1816,315,265
1816,222,216
1816,148,130
1816,361,331
1816,320,281
1816,559,464
1816,353,320
1816,321,282
1816,193,169
1816,302,265
1816,357,300
1816,393,382
1816,222,216
1816,323,283
1816,247,217
1816,418,351
1816,313,275
1816,219,213
1816,218,212
1816,344,289
1816,145,127
1816,139,122
1816,423,371
1816,201,195
1816,184,161
1816,104,91
1816,281,240
1816,239,210
1817,275,267
1817,409,368
1817,269,236
1817,98,95
1817,146,128
1817,457,401
1816,373,336
1817,241,230
1817,345,295
1817,430,377
1817,417,350
1817,385,347
1817,558,469
1817,490,407
1817,563,486
1817,344,302
1817,446,391
1817,246,207
1817,341,299
1817,263,231
1817,463,406
1817,226,198
1817,266,258
1817,156,137
1817,222,195
1816,168,147
1817,245,215
1817,397,330
1817,179,150
1817,160,155
1817,380,319
1817,154,147
1817,145,130
1817,125,110
1817,421,409
1817,423,355
1817,369,310
1817,336,282
1817,90,81
1817,131,110
1817,291,255
1817,177,172
1817,80,70
1817,703,584
1817,439,369
1817,150,132
1817,424,412
1817,86,72
1817,515,472
1817,71,68
1817,203,178
1817,265,238
1817,375,335
1817,180,163
1817,217,190
1817,230,202
1817,221,211
1817,303,262
1817,239,210
1817,328,288
1817,487,409
1817,505,424
1817,397,386
1817,172,164
1817,295,245
1817,376,316
1817,376,316
1817,384,352
1817,365,320
1817,188,169
1817,270,243
1817,734,610
1817,469,430
1817,401,337
1817,569,478
1817,491,431
1817,483,460
1817,150,132
1817,533,448
1817,320,281
1817,286,234
1817,245,215
1817,327,312
1817,266,233
1817,275,267
1818,497,436
1817,334,281
1818,242,212
1818,364,354
1818,361,262
1818,207,182
1818,62,54
1818,350,294
1818,291,255
1818,161,156
1818,364,327
1818,486,426
1818,144,121
1818,180,175
1818,400,351
1818,82,80
1818,412,346
1818,316,290
1818,273,250
1818,461,448
1818,362,304
1818,445,432
1818,154,150
1818,469,394
1818,186,177
1818,870,723
1818,290,254
1818,334,306
1818,368,309
1818,713,616
1818,289,275
1818,210,204
1818,260,248
1818,305,268
1818,415,345
1818,449,404
1818,296,260
1818,383,344
1818,357,313
1818,95,92
1818,316,307
1818,163,158
1818,69,62
1818,227,221
1818,583,490
1818,721,606
1818,342,332
1818,590,490
1819,149,134
1819,349,314
1819,311,296
1819,353,336
1819,178,161
1819,121,115
1820,179,164
1820,94,90
1820,316,290
1689,240,187
1690,381,331
1691,120,93
1690,216,150
1691,600,520
1690,251,174
1691,635,580
1691,496,430
1689,,
1694,542,470
1694,330,265
1694,321,305
1695,598,541
1696,,
1699,179,158
1702,451,390
1702,193,165
1702,144,136
1702,386,351
1702,,
1704,170,130
1703,114,92
1703,,226
1703,,
1703,273,236
1704,316,241
1704,,
1704,366,224
1704,265,219
1704,,
1705,,
1705,590,539
1705,550,400
1705,248,214
1723,400,316
1683,315,208
1706,364,315
1688,251,174
1682,438,380
1684,245,197
1684,342,260
1683,220,188
1686,150,106
1686,195,158
1689,270,205
1704,300,273
1704,332,286
1704,400,378
1703,261,223
1704,510,466
1704,150,208
1704,181,140
1701,224,204
1701,414,353
1701,221,191
1702,292,222
1684,212,161
1702,473,409
1702,254,216
1702,549,468
1706,563,510
1706,210,180
1704,401,174
1704,100,81
1705,180,176
1705,600,536
1705,304,238
1705,550,290
1705,615,556
1705,188,166
1703,571,458
1699,91,80
1695,360,304
1695,200,196
1696,120,113
1696,336,327
1696,129,125
1696,413,314
1697,316,247
1696,381,331
1697,,
1698,346,131
1698,330,313
1703,301,253
1703,273,236
1706,629,536
1702,273,236
1702,273,236
1701,350,183
1701,64,58
1701,296,269
1701,386,351
1701,130,117
1685,360,272
1687,489,424
1679,326,226
1675,12,10
1720,270,218
1722,200,185
1678,134,107
1676,,
1674,691,544
1675,192,150
1676,346,300
1677,150,120
1679,293,180
1678,222,180
1678,200,160
1678,250,200
1679,270,244
1679,179,160
1681,254,250
1680,600,220
1681,137,110
1681,112,90
1700,132,103
1689,268,232
1683,258,226
1683,507,474
1682,317,247
1683,171,169
1683,317,254
1692,855,650
1692,400,305
1698,212,147
1704,199,172
1706,198,176
1707,213,171
1698,22,18
1699,265,212
1700,243,195
1700,243,195
1700,205,164
1700,243,195
1700,243,195
1700,243,195
1700,250,200
1701,109,87
1701,190,152
1701,237,190
1701,152,122
1701,100,80
1701,108,92
1701,79,63
1701,187,150
1701,91,73
1701,94,83
1701,166,133
1701,327,262
1701,84,75
1701,57,46
1702,400,320
1702,345,276
1702,11,9
1702,189,151
1702,250,200
1702,97,82
1702,75,60
1702,28,25
1702,125,100
1703,143,140
1703,199,181
1704,370,320
1704,300,250
1705,311,269
1700,275,220
1701,225,180
1701,212,193
1701,125,100
1702,148,112
1702,97,78
1702,237,190
1700,226,181
1702,203,180
1698,317,220
1698,155,124
1700,492,394
1700,248,199
1702,350,280
1702,440,400
1702,330,300
1700,151,135
1701,153,137
1701,169,135
1702,137,118
1702,196,157
1702,208,174
1702,245,196
1702,230,184
1703,186,161
1704,325,260
1709,166,133
1707,116,93
1701,57,46
1703,185,148
1704,305,260
1704,252,218
1705,110,88
1705,102,82
1705,112,90
1705,292,234
1706,155,134
1706,115,92
1707,262,226
1707,151,121
1698,171,130
1701,74,63
1701,177,150
1703,368,295
1700,132,106
1700,430,234
1701,177,142
1701,400,320
1701,300,240
1702,20,16
1702,531,425
1704,157,126
1672,180,125
1683,130,90
1709,333,253
1709,169,150
1709,255,213
1709,404,350
1710,390,370
1709,362,290
1709,259,230
1709,268,224
1710,340,300
1710,328,320
1709,161,130
1710,365,292
1711,105,90
1710,419,363
1710,333,294
1710,306,270
1710,295,225
1710,190,168
1710,337,270
1710,300,290
1710,263,201
1710,255,204
1709,,
1710,223,186
1715,148,131
1710,202,180
1710,410,311
1710,250,200
1709,237,190
1710,165,125
1710,237,190
1709,272,228
1711,396,350
1710,237,190
1711,378,316
1711,401,335
1711,405,358
1712,510,487
1712,300,292
1717,82,17
1720,277,245
1711,382,319
1711,368,325
1711,602,550
1711,301,266
1711,346,296
1711,282,249
1711,404,350
1711,215,180
1711,154,133
1711,190,152
1711,135,108
1682,355,308
1683,279,242
1683,396,301
1683,197,137
1685,110,88
1687,324,281
1687,388,295
1687,368,280
1687,154,107
1687,473,410
1687,525,399
1687,197,137
1688,293,203
1688,358,287
1688,252,202
1688,587,470
1684,181,163
1694,446,357
1687,110,100
1687,360,293
1687,360,345
1687,281,240
1687,40,35
1693,598,288
1682,475,371
1682,250,232
1682,160,70
1682,253,120
1682,35,24
1683,164,104
1683,67,
1698,166,133
1698,121,97
1700,140,112
1699,381,331
1700,243,195
1701,200,160
1700,251,
1702,157,139
1701,325,260
1701,237,190
1702,258,196
1703,72,64
1703,155,128
1703,163,144
1706,245,196
1706,203,154
1707,237,190
1707,226,200
1706,237,190
1707,181,160
1707,136,120
1708,258,216
1707,121,108
1708,509,450
1708,224,187
1708,339,299
1708,200,162
1707,112,90
1707,208,158
1708,351,310
1708,237,190
1708,200,166
1709,306,280
1709,176,156
1709,315,240
1708,,
1709,236,180
1710,396,350
1710,233,218
1709,,
1709,215,190
1710,164,145
1710,120,95
1710,223,186
1710,200,170
1710,265,201
1710,178,158
1710,126,113
1710,,
1711,234,194
1711,141,126
1710,419,370
1711,237,190
1710,293,245
1710,237,190
1710,237,190
1710,,
1710,,
1710,121,108
1711,226,200
1711,281,248
1711,287,240
1710,237,190
1710,237,190
1710,237,190
1712,280,248
1711,147,130
1711,237,190
1712,303,268
1711,128,113
1711,350,278
1711,382,330
1712,272,240
1712,191,169
1712,513,429
1711,303,251
1711,196,173
1713,238,210
1713,237,190
1712,148,131
1713,208,180
1712,412,330
1713,273,236
1713,282,240
1713,311,260
1713,121,108
1712,237,190
1713,443,391
1713,262,219
1712,400,320
1713,287,240
1713,204,180
1713,299,250
1713,,
1714,237,190
1714,250,200
1714,252,218
1714,232,216
1718,237,190
1719,225,190
1719,225,190
1719,225,190
1719,,
1719,159,131
1719,225,190
1719,225,190
1719,225,190
1698,40,32
1698,174,160
1719,118,
1760,400,360
1760,250,209
1760,169,150
1760,200,166
1760,250,209
1760,250,208
1759,250,209
1760,196,174
1760,250,208
1760,276,209
1760,250,208
1760,250,208
1760,230,197
1760,250,208
1760,250,208
1760,171,151
1760,250,208
1760,169,150
1762,264,220
1762,250,209
1761,169,
1761,250,208
1761,672,560
1761,169,150
1761,250,208
1762,250,208
1761,169,150
1762,36,32
1761,,
1762,257,220
1762,169,150
1762,62,52
1762,169,150
1761,226,204
1762,226,204
1762,250,208
1762,250,208
1762,87,72
1762,194,158
1762,288,240
1762,,
1762,250,208
1762,250,208
1762,386,267
1762,169,
1761,250,208
1762,230,197
1763,185,158
1765,196,174
1763,250,208
1764,169,150
1763,,
1763,,
1763,250,209
1763,148,131
1763,,
1763,169,150
1764,96,80
1763,60,50
1763,,
1763,169,150
1764,133,118
1764,244,220
1765,331,270
1764,383,340
1764,250,208
1763,216,185
1764,169,150
1764,319,260
1764,154,120
1763,,
1764,149,126
1764,169,150
1764,250,208
1764,196,174
1764,204,170
1764,355,296
1764,270,220
1764,226,204
1764,169,150
1764,169,150
1765,101,90
1764,236,202
1764,,
1765,210,180
1765,250,208
1765,196,174
1766,42,38
1765,172,140
1766,301,260
1765,171,151
1765,250,208
1765,,
1766,250,208
1765,250,208
1765,,
1765,248,220
1766,250,209
1765,250,208
1765,338,276
1766,250,208
1766,222,190
1765,230,204
1766,111,97
1766,250,209
1765,169,150
1765,148,131
1767,310,268
1766,276,209
1766,196,174
1767,,
1766,226,204
1766,,
1767,169,150
1767,169,150
1767,367,
1768,152,130
1767,149,126
1767,,
1767,120,100
1767,59,52
1767,250,208
1767,414,345
1768,143,127
1768,152,130
1767,300,259
1767,226,204
1763,31,24
1768,196,174
1770,,
1768,250,209
1768,386,351
1767,290,266
1768,276,209
1768,149,126
1768,386,351
1768,250,208
1769,250,208
1769,250,208
1769,,
1769,,
1769,107,96
1769,240,213
1770,203,176
1770,250,
1770,250,208
1770,250,208
1770,250,208
1770,149,126
1770,149,126
1770,250,208
1770,276,209
1771,250,208
1771,138,113
1771,122,95
1771,250,208
1771,149,126
1771,171,151
1772,178,154
1771,250,208
1771,276,209
1771,250,208
1771,147,126
1772,352,288
1771,169,150
1772,250,208
1772,196,174
1772,149,126
1772,356,270
1773,169,
1772,250,209
1772,224,190
1772,196,174
1772,169,150
1772,196,174
1772,250,208
1772,276,209
1773,250,208
1773,83,65
1773,149,126
1773,134,110
1773,102,92
1773,149,126
1773,388,350
1773,134,114
1773,250,209
1774,169,150
1773,,
1773,100,20
1774,226,204
1774,226,204
1774,226,204
1774,149,126
1774,169,150
1773,149,126
1774,273,236
1774,250,208
1774,169,150
1774,149,126
1774,250,208
1775,149,126
1774,250,208
1774,85,77
1774,83,65
1775,527,430
1774,143,121
1774,250,209
1774,250,208
1774,305,260
1775,116,100
1775,149,126
1776,310,266
1775,250,208
1775,250,208
1775,250,
1775,386,351
1775,250,208
1775,169,150
1775,169,150
1775,169,150
1776,210,195
1775,250,208
1775,250,209
1776,169,150
1775,171,153
1776,169,150
1775,169,150
1775,169,150
1776,149,126
1775,113,92
1776,149,126
1776,359,328
1776,359,328
1776,386,351
1776,20,18
1776,349,314
1776,310,266
1776,100,
1776,310,266
1776,56,60
1776,169,150
1777,273,236
1777,226,204
1777,169,150
1801,100,86
1777,119,93
1778,149,126
1778,,
1779,451,413
1777,40,37
1776,310,266
1773,144,136
1777,201,184
1769,120,100
1770,126,112
1771,59,46
1771,59,52
1771,3,2
1772,87,72
1773,34,30
1773,24,22
1774,23,20
1774,45,35
1775,75,61
1776,25,23
1776,30,23
1761,169,150
1762,237,210
1764,343,280
1763,270,220
1764,267,218
1764,94,83
1764,53,47
1764,179,159
1764,350,286
1764,169,145
1764,120,108
1764,169,150
1765,178,160
1766,282,230
1765,169,150
1766,100,76
1766,304,253
1766,221,180
1767,280,248
1768,117,104
1767,250,209
1762,90,80
1764,130,109
1764,100,90
1765,74,66
1765,203,180
1765,149,126
1767,50,44
1766,86,67
1767,,
1766,78,61
1768,63,54
1750,117,100
1750,174,154
1752,242,207
1752,187,160
1751,180,154
1751,48,40
1751,133,114
1751,51,46
1751,250,208
1752,442,384
1752,300,245
1752,208,170
1753,294,240
1753,134,111
1753,116,101
1753,124,108
1754,133,114
1754,164,140
1754,370,317
1755,230,200
1755,57,47
1755,83,69
1755,154,132
1754,215,184
1756,166,144
1756,181,150
1756,158,135
1754,83,74
1751,276,209
1753,234,208
1754,152,130
1752,130,115
1750,196,174
1750,350,283
1751,250,208
1750,255,216
1751,149,126
1751,83,69
1751,229,199
1751,276,209
1749,386,351
1749,120,84
1751,250,209
1751,250,208
1751,,
1751,273,
1751,149,126
1751,94,83
1751,250,209
1752,169,150
1752,250,209
1752,250,208
1752,284,251
1752,170,109
1753,63,54
1752,70,63
1752,226,
1753,174,154
1752,36,32
1752,386,351
1753,56,47
1753,65,51
1753,91,71
1752,149,126
1753,250,208
1753,250,208
1753,276,209
1754,276,209
1755,73,65
1753,250,208
1754,142,126
1755,124,110
1755,250,208
1755,174,149
1752,250,208
1755,250,209
1755,250,208
1755,57,48
1756,100,89
1756,230,197
1756,118,103
1756,83,65
1756,83,65
1757,83,65
1756,83,65
1758,100,78
1758,83,69
1758,80,62
1758,18,15
1759,50,44
1759,549,450
1777,118,110
1777,72,5
1777,,
1777,25,19
1777,85,79
1754,35,26
1754,87,72
1754,36,23
1754,160,142
1755,48,40
1757,60,50
1755,100,89
1756,51,42
1756,130,109
1756,70,55
1755,83,65
1757,169,151
1757,171,151
1775,500,400
1775,60,47
1775,70,61
1775,171,151
1776,230,211
1776,110,95
1776,32,28
1785,18,15
1792,63,53
1796,130,106
1719,,
1720,,
1729,149,126
1733,149,126
1732,95,
1645,149,126
1758,120,104
1758,170,144
1759,169,146
1761,130,108
1762,242,220
1763,200,170
1763,120,102
1763,200,170
1763,136,80
1764,150,127
1764,100,85
1766,250,209
1764,65,55
1764,70,59
1766,70,38
1766,200,162
1766,111,94
1767,80,69
1767,60,35
1768,50,65
1767,80,71
1768,140,147
1768,,
1768,140,119
1769,100,69
1769,64,63
1769,148,126
1775,103,90
1753,43,35
1714,66,59
1714,101,90
1714,241,206
1714,11,10
1714,167,148
1714,170,141
1715,156,139
1715,118,105
1715,27,24
1717,90,80
1718,118,105
1718,132,118
1718,113,97
1719,124,111
1719,126,112
1719,120,107
1719,78,70
1719,60,51
1722,120,116
1723,142,127
1723,143,127
1724,138,123
1724,99,88
1724,131,117
1725,180,161
1725,132,118
1725,180,160
1725,172,154
1726,62,50
1726,189,151
1726,173,151
1729,298,239
1729,161,129
1730,166,142
1731,233,201
1731,150,115
1736,68,60
1736,152,122
1736,48,43
1737,134,110
1727,207,177
1715,121,108
1718,83,69
1721,142,131
1645,149,126
1651,181,155
1650,181,155
1678,53,45
1680,149,126
1681,,
1700,31,25
1729,93,77
1729,95,74
1730,95,82
1733,67,56
1732,164,140
1733,113,102
1737,149,126
1726,83,69
1721,131,117
1724,158,135
1718,48,42
1727,149,126
1728,149,126
1729,271,217
1731,162,153
1732,149,126
1732,,
1735,271,217
1736,149,126
1737,,
1736,149,126
1736,200,179
1740,123,101
1739,50,40
1740,82,70
1740,149,126
1741,149,126
1741,149,126
1743,20,20
1743,149,126
1743,149,126
1742,141,121
1744,95,74
1744,149,126
1749,271,217
1752,149,126
1746,149,126
1747,149,126
1748,149,126
1748,149,126
1750,149,126
1749,149,126
1749,149,126
1751,43,35
1750,149,126
1750,149,126
1750,149,126
1752,149,126
1753,149,126
1753,149,126
1757,135,105
1750,170,136
1752,260,197
1760,92,76
1760,236,202
1760,95,74
1760,149,126
1760,94,74
1761,76,75
1762,95,74
1761,149,126
1761,83,69
1762,149,126
1763,96,80
1759,155,129
1763,149,126
1763,149,126
1763,149,126
1764,149,126
1763,149,126
1765,82,80
1764,118,103
1764,149,126
1765,100,78
1764,43,35
1765,200,170
1766,149,126
1766,149,126
1767,133,114
1768,140,98
1768,220,192
1767,149,126
1770,253,216
1769,149,126
1770,265,224
1769,149,126
1771,147,128
1771,226,197
1770,149,126
1770,149,126
1770,149,126
1770,149,126
1771,149,126
1771,149,126
1772,149,
1773,247,210
1772,149,126
1774,216,185
1772,149,126
1774,273,241
1772,149,126
1773,149,126
1773,149,126
1773,149,126
1774,149,126
1773,149,126
1773,149,126
1774,149,126
1774,149,126
1774,149,126
1774,149,126
1774,149,126
1773,29,25
1774,149,126
1785,130,106
1787,152,126
1786,41,34
1789,35,29
1791,149,126
1791,115,98
1794,130,106
1795,149,126
1796,35,32
1795,149,126
1790,149,126
1791,93,68
1790,38,32
1786,245,200
1793,130,106
1793,110,88
1794,94,77
1793,94,77
1793,50,41
1793,40,
1763,94,80
1763,71,60
1763,93,81
1765,,71
1765,142,120
1766,,
1766,120,100
1807,101,75
1804,267,201
1715,46,38
1716,52,43
1722,149,126
1723,83,70
1733,257,238
1733,71,60
1717,130,106
1750,149,126
1761,,
1761,95,74
1761,118,103
1761,95,74
1761,80,70
1761,149,126
1760,134,110
1760,83,69
1760,83,69
1761,83,69
1762,162,133
1761,95,
1761,83,69
1760,95,74
1760,95,74
1761,128,100
1751,75,73
1751,123,101
1751,181,155
1760,83,69
1762,149,126
1764,99,81
1763,118,103
1764,105,87
1764,134,110
1764,185,151
1765,83,69
1765,83,69
1765,70,55
1765,59,49
1796,138,122
1792,130,106
1792,149,126
1792,94,77
1799,149,126
1717,72,60
1718,150,128
1718,131,109
1725,71,59
1754,10,9
1754,11,9
1762,112,92
1717,57,48
1719,156,128
1720,123,101
1755,45,37
1772,118,100
1766,83,65
1755,72,60
1767,80,77
1767,83,65
1765,55,50
1766,70,
1765,83,65
1805,,
1805,,
1807,92,88
1807,38,32
1783,94,77
1783,149,126
1784,192,169
1784,110,90
1784,368,300
1785,166,142
1782,149,126
1786,150,80
1795,500,500
1791,,
1797,120,109
1800,80,68
1803,,
1800,94,77
1804,114,100
1804,286,215
1804,239,200
1804,177,148
1804,127,106
1804,543,243
1804,70,61
1804,158,138
1804,267,201
1804,99,87
1804,118,100
1804,118,100
1804,150,125
1805,53,45
1805,59,50
1805,113,99
