Year of arrival at port of disembarkation,Total embarked,Total disembarked
1801,182,168
1802,187,172
1803,273,250
1805,189,173
1806,206,190
1807,200,184
1793,171,168
1794,171,169
1805,224,205
1806,,
1785,406,372
1786,333,305
1787,401,390
1788,359,328
1790,146,134
1791,317,290
1791,359,
1789,230,221
1790,250,228
1791,255,207
1792,238,230
1794,328,325
1796,317,287
1798,330,293
1799,281,257
1801,218,196
1807,222,200
1798,444,407
1804,310,
1808,230,207
1807,331,298
1793,302,292
1795,359,328
1796,277,275
1797,308,308
1802,438,394
1803,440,396
1804,417,375
1797,165,153
1798,156,145
1799,166,154
1799,,
1797,213,198
1785,261,242
1785,319,296
1786,359,
1785,142,130
1797,359,328
1798,363,327
1799,366,335
1801,307,276
1802,255,229
1802,284,255
1804,340,306
1805,324,291
1806,295,265
1807,276,248
1785,166,152
1786,242,204
1788,216,213
1789,207,190
1791,203,186
1792,141,130
1793,194,190
1794,203,197
1795,359,328
1800,733,671
1787,,
1793,211,192
1802,156,140
1804,310,279
1806,445,400
1790,303,278
1791,310,300
1792,394,367
1792,386,354
1794,370,342
1796,324,306
1798,493,452
1799,405,371
1801,266,239
1802,263,236
1804,331,272
1799,200,183
1796,,
1782,359,328
1783,359,328
1785,510,467
1786,491,450
1794,401,401
1794,,
1797,,
1796,335,329
1797,346,345
1799,343,314
1800,359,328
1801,241,217
1802,246,221
1802,242,218
1803,220,198
1804,222,200
1808,356,320
1781,210,195
1782,,
1795,290,247
1803,231,212
1804,235,215
1805,235,215
1806,216,198
1808,329,301
1806,445,400
1793,256,254
1794,256,250
1800,273,250
1800,392,359
1802,274,246
1803,245,220
1805,285,256
1806,129,116
1807,281,253
1804,125,106
1805,122,104
1807,122,104
1785,350,350
1780,620,514
1782,670,629
1784,550,522
1785,570,540
1788,349,320
1789,410,410
1791,332,304
1793,390,387
1794,426,417
1797,459,420
1798,472,432
1800,469,430
1801,311,280
1802,310,279
1804,310,279
1806,310,279
1807,419,377
1793,167,153
1794,,
1786,273,250
1787,225,206
1789,195,179
1790,142,130
1792,199,171
1793,160,147
1794,359,328
1784,205,160
1799,309,283
1801,310,279
1802,344,309
1805,310,279
1807,320,288
1782,797,730
1783,867,794
1784,701,640
1785,441,404
1786,710,650
