Year of arrival at port of disembarkation,Total embarked,Total disembarked,Total died
1665,316,247,69
1666,216,153,63
1666,576,400,176
1666,605,485,120
1666,235,188,47
1666,316,241,75
1666,225,156,69
1666,338,291,47
1666,398,319,79
1666,235,188,47
1666,316,247,69
1666,147,102,45
1666,235,188,47
1666,210,146,64
1666,328,285,43
1666,338,291,47
1666,316,241,75
1666,275,191,84
1666,293,203,90
1666,170,118,52
1666,352,244,108
1666,338,291,47
1666,215,149,66
1666,288,216,72
1667,338,291,47
1667,244,209,35
1667,404,307,97
1667,338,291,47
1667,212,170,42
1667,1124,900,224
1667,455,391,64
1667,455,391,64
1667,253,178,75
1667,338,291,47
1667,488,420,68
1667,291,233,58
1667,291,233,58
1667,375,300,75
1667,291,233,58
1667,272,207,65
1667,312,250,62
1667,316,241,75
1667,240,208,32
1668,21,16,5
1668,455,391,64
1668,273,191,82
1668,243,209,34
1668,273,191,82
1668,330,264,66
1668,328,285,43
1668,330,264,66
1668,177,152,25
1668,564,452,112
1668,251,174,77
1668,338,291,47
1668,148,127,21
1668,189,155,34
1668,328,285,43
1668,131,106,25
1668,143,123,20
1668,217,187,30
1668,250,215,35
1668,216,186,30
1668,273,191,82
1668,244,210,34
1668,259,207,52
1668,280,219,61
1668,251,174,77
1668,316,247,69
1668,338,291,47
1668,269,231,38
1668,338,291,47
1668,328,198,130
1668,213,166,47
1668,215,187,28
1668,276,211,65
1669,273,191,82
1669,30,26,4
1669,273,191,82
1669,867,650,217
1669,455,391,64
1669,337,253,84
1669,422,262,160
1669,338,291,47
1669,328,285,43
1669,520,447,73
1669,273,191,82
1669,251,174,77
1669,455,391,64
1669,549,472,77
1669,338,291,47
1669,147,126,21
1669,338,291,47
1669,455,391,64
1669,230,200,30
1669,455,391,64
1669,429,300,129
1669,131,113,18
1669,338,291,47
1669,548,471,77
1669,524,450,74
1669,173,150,23
1669,266,186,80
1669,392,320,72
1669,455,391,64
1669,338,291,47
1669,330,264,66
1669,328,285,43
1669,194,136,58
1670,338,291,47
1670,328,285,43
1670,338,291,47
1670,563,443,120
1670,330,264,66
1670,412,288,124
1670,249,174,75
1670,434,334,100
1670,234,195,39
1670,338,291,47
1670,328,285,43
1670,278,212,66
1670,110,95,15
1670,338,291,47
1670,273,191,82
1670,330,264,66
1670,337,253,84
1670,328,285,43
1670,455,391,64
1670,455,391,64
1670,338,291,47
1670,338,291,47
1670,251,174,77
1670,328,285,43
1670,273,191,82
1671,455,391,64
1671,244,209,35
1671,455,391,64
1671,76,58,18
1671,367,280,87
1671,338,291,47
1671,337,253,84
1671,316,241,75
1671,455,391,64
1671,455,391,64
1671,233,163,70
1671,338,291,47
1671,328,285,43
1671,278,215,63
1671,273,191,82
1671,550,473,77
1671,338,291,47
1671,338,291,47
1671,386,295,91
1671,72,51,21
1671,292,260,32
1671,455,391,64
1671,292,260,32
1671,337,253,84
1671,150,129,21
1671,338,291,47
1671,71,50,21
1671,244,209,35
1671,357,319,38
1671,227,160,67
1671,273,191,82
1671,229,160,69
1671,54,42,12
1671,455,391,64
1671,58,44,14
1671,337,253,84
1671,455,391,64
1671,338,291,47
1671,338,291,47
1671,304,210,94
1672,337,253,84
1672,935,664,271
1672,459,350,109
1672,800,687,113
1672,429,369,60
1672,275,210,65
1672,455,391,64
1672,470,404,66
1672,330,264,66
1672,455,391,64
1672,338,291,47
1672,338,291,47
1672,314,242,72
1672,316,241,75
1672,330,264,66
1672,285,218,67
1672,244,209,35
1672,149,119,30
1672,180,125,55
1672,316,241,75
1672,455,391,64
1672,498,428,70
1673,500,100,400
1673,316,241,75
1673,1110,900,210
1673,285,218,67
1673,455,391,64
1673,455,391,64
1673,474,331,143
1673,820,586,234
1673,473,413,60
1673,191,164,27
1673,338,291,47
1673,487,419,68
1673,67,50,17
1673,275,220,55
1674,327,262,65
1674,531,415,116
1674,330,264,66
1674,316,247,69
1674,316,247,69
1674,130,110,20
1674,656,553,103
1674,467,394,73
1674,467,394,73
1674,342,322,20
1674,399,277,122
1674,291,202,89
1674,215,204,11
1674,59,47,12
1674,455,384,71
1674,330,264,66
1674,100,85,15
1674,377,280,97
1674,691,544,147
1674,439,394,45
1674,516,470,46
1674,251,174,77
1674,330,264,66
1674,316,247,69
1674,330,264,66
1674,150,126,24
1674,179,158,21
1675,125,110,15
1675,481,414,67
1675,333,231,102
1675,462,351,111
1675,521,417,104
1675,468,403,65
1675,407,318,89
1675,151,105,46
1675,563,458,105
1675,396,317,79
1675,604,550,54
1675,524,477,47
1675,91,73,18
1675,387,310,77
1675,192,150,42
1675,251,174,77
1675,316,247,69
1675,151,126,25
1675,316,247,69
1675,112,90,22
1675,408,319,89
1675,409,328,81
1675,104,72,32
1675,115,80,35
1675,151,126,25
1675,157,109,48
1675,316,241,75
1675,301,209,92
1675,316,241,75
1675,12,10,2
1675,467,394,73
1676,346,300,46
1676,346,300,46
1676,408,356,52
1676,343,242,101
1676,256,220,36
1676,315,224,91
1676,600,574,26
1676,500,494,6
1676,292,260,32
1676,391,313,78
1676,408,356,52
1676,350,301,49
1676,400,324,76
1676,524,477,47
1676,250,198,52
1676,144,100,44
1676,467,394,73
1676,61,42,19
1676,524,477,47
1676,103,86,17
1676,467,394,73
1676,467,394,73
1676,235,163,72
1676,133,92,41
1676,251,174,77
1676,302,286,16
1676,430,372,58
1676,500,422,78
1676,256,178,78
1676,299,239,60
1676,232,161,71
1676,304,210,94
1676,343,306,37
1676,450,379,71
1677,194,155,39
1677,437,375,62
1677,270,238,32
1677,340,240,100
1677,512,400,112
1677,500,450,50
1677,474,417,57
1677,500,422,78
1677,243,195,48
1677,290,256,34
1677,467,394,73
1677,243,195,48
1677,402,281,121
1677,611,477,134
1677,105,80,25
1677,317,247,70
1677,317,247,70
1677,100,91,9
1677,222,154,68
1677,219,152,67
1677,173,120,53
1677,313,241,72
1677,475,371,104
1677,410,167,243
1677,316,241,75
1677,200,175,25
1677,524,450,74
1677,150,120,30
1677,250,191,59
1677,122,98,24
1677,400,337,63
1677,243,195,48
1677,400,313,87
1677,244,209,35
1677,181,145,36
1677,244,209,35
1678,766,582,184
1678,376,286,90
1678,199,138,61
1678,350,280,70
1678,219,152,67
1678,283,245,38
1678,243,195,48
1678,348,268,80
1678,209,163,46
1678,465,372,93
1678,1100,935,165
1678,260,230,30
1678,399,376,23
1678,417,329,88
1678,447,385,62
1678,222,180,42
1678,200,160,40
1678,251,174,77
1678,467,394,73
1678,316,241,75
1678,497,388,109
1678,238,186,52
1678,251,174,77
1678,406,356,50
1678,406,356,50
1678,408,356,52
1678,418,318,100
1678,400,313,87
1678,179,158,21
1678,125,87,38
1678,250,200,50
1678,243,195,48
1678,316,241,75
1678,300,234,66
1678,53,45,8
1678,246,197,49
1678,467,394,73
1678,243,195,48
1678,134,107,27
1678,200,169,31
1678,244,209,35
1678,500,422,78
1679,505,293,212
1679,326,226,100
1679,311,216,95
1679,217,197,20
1679,337,233,104
1679,293,180,113
1679,337,233,104
1679,468,403,65
1679,137,110,27
1679,147,102,45
1679,337,233,104
1679,149,126,23
1679,216,153,63
1679,357,319,38
1679,149,126,23
1679,120,92,28
1679,316,241,75
1679,216,153,63
1679,122,93,29
1679,364,331,33
1679,316,241,75
1679,316,241,75
1679,474,417,57
1679,380,366,14
1679,316,241,75
1679,316,241,75
1679,316,241,75
1679,290,245,45
1679,260,230,30
1679,316,241,75
1679,316,241,75
1679,216,153,63
1679,243,195,48
1679,375,300,75
1679,388,357,31
1679,320,200,120
1679,87,70,17
1679,202,140,62
1679,75,60,15
1679,500,422,78
1679,51,40,11
1679,254,239,15
1679,356,172,184
1679,191,152,39
1679,151,105,46
1679,278,193,85
1679,398,336,62
1679,209,177,32
1679,223,176,47
1679,500,422,78
1679,500,422,78
1679,207,184,23
1679,400,313,87
1679,400,313,87
1679,100,80,20
1679,230,218,12
1679,70,55,15
1679,179,160,19
1679,550,417,133
1679,270,244,26
1679,75,60,15
1680,551,478,73
1680,37,34,3
1680,430,391,39
1680,182,126,56
1680,251,174,77
1680,277,216,61
1680,243,195,48
1680,251,174,77
1680,251,174,77
1680,565,490,75
1680,406,356,50
1680,560,400,160
1680,410,325,85
1680,243,195,48
1680,100,80,20
1680,71,59,12
1680,55,44,11
1680,244,209,35
1680,243,195,48
1680,243,195,48
1680,406,356,50
1680,467,394,73
1680,406,356,50
1680,260,230,30
1680,94,75,19
1680,36,33,3
1680,622,473,149
1680,307,182,125
1680,150,120,30
1680,400,313,87
1680,243,195,48
1680,483,407,76
1680,700,600,100
1680,350,295,55
1680,500,422,78
1680,600,546,54
1680,483,483,0
1680,149,126,23
1680,513,484,29
1680,433,394,39
1680,600,220,380
1680,170,141,29
1680,330,298,32
1680,708,476,232
1680,401,278,123
1680,404,307,97
1680,243,195,48
1680,207,144,63
1680,520,479,41
1680,214,180,34
1680,150,120,30
1680,524,477,47
1680,237,185,52
1680,385,325,60
1680,433,394,39
1681,212,73,139
1681,227,162,65
1681,479,415,64
1681,408,310,98
1681,235,59,176
1681,243,195,48
1681,250,172,78
1681,66,55,11
1681,118,105,13
1681,139,111,28
1681,243,195,48
1681,70,67,3
1681,253,178,75
1681,288,219,69
1681,467,394,73
1681,292,260,32
1681,213,199,14
1681,146,101,45
1681,288,200,88
1681,549,476,73
1681,243,195,48
1681,243,195,48
1681,316,241,75
1681,216,153,63
1681,483,440,43
1681,216,153,63
1681,216,153,63
1681,216,153,63
1681,282,220,62
1681,62,50,12
1681,251,174,77
1681,243,195,48
1681,243,195,48
1681,243,195,48
1681,216,153,63
1681,316,241,75
1681,237,190,47
1681,376,260,116
1681,222,180,42
1681,254,250,4
1681,137,110,27
1681,112,90,22
1681,692,630,62
1681,427,295,132
1681,228,174,54
1681,500,455,45
1681,400,313,87
1681,529,470,59
1681,292,260,32
1681,400,313,87
1681,280,196,84
1681,320,175,145
1681,316,241,75
1681,97,85,12
1681,232,130,102
1681,155,118,37
1681,500,321,179
1681,492,410,82
1681,40,20,20
1681,400,170,230
1681,243,195,48
1681,243,195,48
1681,420,290,130
1681,402,281,121
1681,362,250,112
1681,521,439,82
1681,243,195,48
1681,500,452,48
1681,310,261,49
1681,500,455,45
1681,400,313,87
1681,237,190,47
1681,467,394,73
1681,550,504,46
1681,316,241,75
1681,83,77,6
1681,469,407,62
1681,467,394,73
1682,524,477,47
1682,302,255,47
1682,404,307,97
1682,672,511,161
1682,315,300,15
1682,579,440,139
1682,280,163,117
1682,395,296,99
1682,326,261,65
1682,243,195,48
1682,207,158,49
1682,316,241,75
1682,316,241,75
1682,243,195,48
1682,243,195,48
1682,243,195,48
1682,243,195,48
1682,438,380,58
1682,316,241,75
1682,316,241,75
1682,474,417,57
1682,404,307,97
1682,437,350,87
1682,243,195,48
1682,243,195,48
1682,524,477,47
1682,179,158,21
1682,243,195,48
1682,357,319,38
1682,404,307,97
1682,500,455,45
1682,500,422,78
1682,316,241,75
1682,243,195,48
1682,317,247,70
1682,355,308,47
1682,243,195,48
1682,243,195,48
1682,250,232,18
1682,160,70,90
1682,160,111,49
1682,243,195,48
1682,243,195,48
1682,686,521,165
1682,467,355,112
1682,100,90,10
1682,475,371,104
1682,316,241,75
1682,200,169,31
1682,243,195,48
1682,35,24,11
1682,253,120,133
1682,24,19,5
1682,200,180,20
1682,218,178,40
1682,230,217,13
1682,146,119,27
1682,164,114,50
1682,508,386,122
1683,313,241,72
1683,208,189,19
1683,230,133,97
1683,133,124,9
1683,243,195,48
1683,243,195,48
1683,243,195,48
1683,316,241,75
1683,381,331,50
1683,243,195,48
1683,243,195,48
1683,243,195,48
1683,317,247,70
1683,362,275,87
1683,187,150,37
1683,154,120,34
1683,304,210,94
1683,304,210,94
1683,27,22,5
1683,87,70,17
1683,130,90,40
1683,243,195,48
1683,243,195,48
1683,75,60,15
1683,334,254,80
1683,243,195,48
1683,251,174,77
1683,118,105,13
1683,467,394,73
1683,243,195,48
1683,243,195,48
1683,62,48,14
1683,250,191,59
1683,316,241,75
1683,200,169,31
1683,174,121,53
1683,347,240,107
1683,279,242,37
1683,396,301,95
1683,258,226,32
1683,600,417,183
1683,164,104,60
1683,507,474,33
1683,520,440,80
1683,467,394,73
1683,467,394,73
1683,315,208,107
1683,448,221,227
1683,531,231,300
1683,260,175,85
1683,196,176,20
1683,170,147,23
1683,231,160,71
1683,289,200,89
1683,500,455,45
1683,197,137,60
1683,220,188,32
1683,243,195,48
1683,404,307,97
1683,243,195,48
1683,243,195,48
1683,243,195,48
1683,118,116,2
1683,171,169,2
1683,154,123,31
1683,317,254,63
1683,289,200,89
1683,316,241,75
1683,378,202,176
1683,289,200,89
1683,216,191,25
1683,118,100,18
1683,550,417,133
1683,200,191,9
1683,488,419,69
1683,282,252,30
1684,270,234,36
1684,524,477,47
1684,316,241,75
1684,243,195,48
1684,467,394,73
1684,181,163,18
1684,260,230,30
1684,492,412,80
1684,406,356,50
1684,316,241,75
1684,200,180,20
1684,319,249,70
1684,215,190,25
1684,292,260,32
1684,380,290,90
1684,316,247,69
1684,529,459,70
1684,651,495,156
1684,130,110,20
1684,90,74,16
1684,311,216,95
1684,243,195,48
1684,245,197,48
1684,342,260,82
1684,500,455,45
1684,343,235,108
1684,330,134,196
1684,55,46,9
1684,153,136,17
1684,230,215,15
1684,530,443,87
1684,610,580,30
1684,320,256,64
1684,200,139,61
1684,397,306,91
1684,424,340,84
1684,212,161,51
1684,233,200,33
1684,500,422,78
1684,232,160,72
1684,146,101,45
1684,168,116,52
1684,437,427,10
1684,500,491,9
1684,309,250,59
1684,200,170,30
1684,179,158,21
1684,244,209,35
1684,275,216,59
1684,243,195,48
1684,600,516,84
1684,282,214,68
1684,282,221,61
1684,410,122,288
1684,179,136,43
1684,176,153,23
1685,560,502,58
1685,243,195,48
1685,243,195,48
1685,243,195,48
1685,406,356,50
1685,467,394,73
1685,467,394,73
1685,243,195,48
1685,317,247,70
1685,316,247,69
1685,243,195,48
1685,200,180,20
1685,243,195,48
1685,243,195,48
1685,258,179,79
1685,384,262,122
1685,406,356,50
1685,254,176,78
1685,251,174,77
1685,249,216,33
1685,243,195,48
1685,255,200,55
1685,243,195,48
1685,304,210,94
1685,906,730,176
1685,316,241,75
1685,144,110,34
1685,190,132,58
1685,316,241,75
1685,260,230,30
1685,118,105,13
1685,118,105,13
1685,474,417,57
1685,373,289,84
1685,260,230,30
1685,260,230,30
1685,146,114,32
1685,360,272,88
1685,500,369,131
1685,500,480,20
1685,715,629,86
1685,268,204,64
1685,316,241,75
1685,316,241,75
1685,310,242,68
1685,260,230,30
1685,376,326,50
1685,362,325,37
1685,212,161,51
1685,400,313,87
1685,115,80,35
1685,467,394,73
1685,217,150,67
1685,379,329,50
1685,110,88,22
1685,260,214,46
1685,524,477,47
1685,240,166,74
1686,267,111,156
1686,153,146,7
1686,651,321,330
1686,179,158,21
1686,528,458,70
1686,217,192,25
1686,117,103,14
1686,77,68,9
1686,150,97,53
1686,457,347,110
1686,316,241,75
1686,166,115,51
1686,35,30,5
1686,586,554,32
1686,499,421,78
1686,404,307,97
1686,485,303,182
1686,508,465,43
1686,118,105,13
1686,251,174,77
1686,250,200,50
1686,388,300,88
1686,100,80,20
1686,150,106,44
1686,195,158,37
1686,191,153,38
1686,30,21,9
1686,243,195,48
1686,218,166,52
1686,267,203,64
1686,535,394,141
1686,734,560,174
1686,316,241,75
1686,304,210,94
1686,624,474,150
1686,582,442,140
1686,200,187,13
1686,278,211,67
1686,180,125,55
1686,319,277,42
1686,400,246,154
1686,426,369,57
1686,492,374,118
1686,357,319,38
1686,330,300,30
1686,83,74,9
1686,105,90,15
1686,279,158,121
1686,201,153,48
1686,170,145,25
1686,121,84,37
1686,260,230,30
1686,345,252,93
1686,369,320,49
1686,140,114,26
1686,292,260,32
1686,118,105,13
1686,366,317,49
1686,244,209,35
1686,508,484,24
1686,35,30,5
1686,120,43,77
1686,200,187,13
1686,149,126,23
1686,500,392,108
1686,243,195,48
1687,679,618,61
1687,29,22,7
1687,110,100,10
1687,185,128,57
1687,360,293,67
1687,489,424,65
1687,149,126,23
1687,40,35,5
1687,539,454,85
