Year of arrival at port of disembarkation,Total embarked,Total disembarked,Total died
1693,208,167,41
1693,111,86,25
1693,421,401,20
1693,450,275,175
1693,260,230,30
1693,562,450,112
1693,391,335,56
1693,260,230,30
1693,118,105,13
1693,747,598,149
1693,244,209,35
1693,250,200,50
1693,260,230,30
1693,118,105,13
1693,118,105,13
1693,159,145,14
1693,641,489,152
1693,738,729,9
1693,524,400,124
1693,467,394,73
1694,321,305,16
1694,542,470,72
1694,600,486,114
1694,467,394,73
1694,118,105,13
1694,260,230,30
1694,406,356,50
1694,118,105,13
1694,179,158,21
1694,260,230,30
1694,388,357,31
1694,243,195,48
1694,330,265,65
1694,524,477,47
1694,152,122,30
1694,225,180,45
1694,600,573,27
1694,446,357,89
1694,108,86,22
1694,563,475,88
1694,700,372,328
1694,118,105,13
1694,118,105,13
1694,650,195,455
1694,562,450,112
1694,729,705,24
1694,484,452,32
1694,468,403,65
1694,524,477,47
1694,525,460,65
1694,243,195,48
1694,154,120,34
1694,243,195,48
1694,118,105,13
1694,260,230,30
1694,524,477,47
1694,400,383,17
1694,328,250,78
1694,34,27,7
1694,92,80,12
1694,468,403,65
1695,181,155,26
1695,316,241,75
1695,244,209,35
1695,111,110,1
1695,648,520,128
1695,598,541,57
1695,400,305,95
1695,586,498,88
1695,202,178,24
1695,618,596,22
1695,260,230,30
1695,116,102,14
1695,350,220,130
1695,505,426,79
1695,292,260,32
1695,260,230,30
1695,260,230,30
1695,118,105,13
1695,118,105,13
1695,118,105,13
1695,468,403,65
1695,244,209,35
1695,244,209,35
1695,150,40,110
1695,317,247,70
1695,100,78,22
1695,260,230,30
1695,260,230,30
1695,406,356,50
1695,260,230,30
1695,260,230,30
1695,200,196,4
1695,360,304,56
1695,316,241,75
1695,734,668,66
1695,700,700,0
1695,394,307,87
1695,427,296,131
1695,244,209,35
1695,467,394,73
1695,243,195,48
1695,188,160,28
1695,260,230,30
1695,133,131,2
1695,406,356,50
1696,807,630,177
1696,615,480,135
1696,243,195,48
1696,373,299,74
1696,251,201,50
1696,238,186,52
1696,260,230,30
1696,143,117,26
1696,102,90,12
1696,263,200,63
1696,332,322,10
1696,200,179,21
1696,108,92,16
1696,251,174,77
1696,243,195,48
1696,381,331,50
1696,575,485,90
1696,594,514,80
1696,120,113,7
1696,336,327,9
1696,129,125,4
1696,413,314,99
1696,243,195,48
1696,599,480,119
1696,243,195,48
1696,260,230,30
1696,605,502,103
1696,55,47,8
1696,225,180,45
1696,121,97,24
1696,613,491,122
1696,468,403,65
1696,243,195,48
1696,118,105,13
1696,179,158,21
1696,118,105,13
1696,260,230,30
1696,260,230,30
1696,118,105,13
1696,260,230,30
1696,118,105,13
1696,260,230,30
1696,492,412,80
1696,118,105,13
1696,118,105,13
1696,260,230,30
1696,260,230,30
1696,260,230,30
1696,118,105,13
1696,260,230,30
1696,218,175,43
1696,118,105,13
1696,260,230,30
1696,260,230,30
1697,562,512,50
1697,181,155,26
1697,616,430,186
1697,388,357,31
1697,145,102,43
1697,260,230,30
1697,118,105,13
1697,243,195,48
1697,250,200,50
1697,317,247,70
1697,317,247,70
1697,251,174,77
1697,179,158,21
1697,248,228,20
1697,529,446,83
1697,179,158,21
1697,118,105,13
1697,260,230,30
1697,316,247,69
1697,260,230,30
1697,406,356,50
1697,260,230,30
1697,118,105,13
1697,260,230,30
1697,260,230,30
1697,388,357,31
1697,952,853,99
1697,179,158,21
1697,118,105,13
1697,260,230,30
1697,118,105,13
1697,260,230,30
1697,260,230,30
1697,662,530,132
1697,118,105,13
1697,292,260,32
1697,118,105,13
1697,260,230,30
1697,260,230,30
1697,260,230,30
1697,118,105,13
1697,260,230,30
1697,260,230,30
1697,118,105,13
1697,468,403,65
1697,363,311,52
1697,149,119,30
1697,122,98,24
1697,112,90,22
1697,362,290,72
1697,687,550,137
1697,226,181,45
1697,174,133,41
1697,179,158,21
1697,446,383,63
1697,468,403,65
1697,118,105,13
1697,118,105,13
1697,260,230,30
1697,260,230,30
1697,260,230,30
1697,118,105,13
1697,118,105,13
1697,188,141,47
1697,163,140,23
1697,170,146,24
1697,317,247,70
1697,317,247,70
1697,317,247,70
1697,123,101,22
1697,203,167,36
1697,587,470,117
1697,155,124,31
1697,167,134,33
1698,494,396,98
1698,506,280,226
1698,149,126,23
1698,149,126,23
1698,166,133,33
1698,121,97,24
1698,317,220,97
1698,294,250,44
1698,601,494,107
1698,350,267,83
1698,220,167,53
1698,452,344,108
1698,570,529,41
1698,100,84,16
1698,536,488,48
1698,406,356,50
1698,135,103,32
1698,40,32,8
1698,244,209,35
1698,155,124,31
1698,171,130,41
1698,260,230,30
1698,260,230,30
1698,118,105,13
1698,260,230,30
1698,118,105,13
1698,406,356,50
1698,406,356,50
1698,260,230,30
1698,118,105,13
1698,118,105,13
1698,118,105,13
1698,118,105,13
1698,260,230,30
1698,118,105,13
1698,260,230,30
1698,492,412,80
1698,260,230,30
1698,243,195,48
1698,19,17,2
1698,468,403,65
1698,118,105,13
1698,260,230,30
1698,260,230,30
1698,388,357,31
1698,467,394,73
1698,330,313,17
1698,346,131,215
1698,212,147,65
1698,22,18,4
1698,243,195,48
1698,406,356,50
1698,260,230,30
1698,118,105,13
1698,118,105,13
1698,242,216,26
1698,733,624,109
1698,118,105,13
1698,431,364,67
1698,388,357,31
1698,130,104,26
1698,243,195,48
1698,250,200,50
1698,437,350,87
1698,118,105,13
1698,260,230,30
1698,316,241,75
1698,534,498,36
1698,524,477,47
1698,106,96,10
1698,204,148,56
1698,528,423,105
1698,279,218,61
1698,187,150,37
1698,118,105,13
1698,320,286,34
1698,357,319,38
1698,388,357,31
1698,260,230,30
1698,244,209,35
1698,406,356,50
1698,126,112,14
1698,89,76,13
1698,308,235,73
1698,406,356,50
1698,406,356,50
1698,141,120,21
1698,248,189,59
1698,518,395,123
1698,33,28,5
1698,267,214,53
1698,106,90,16
1698,146,111,35
1698,200,160,40
1698,260,230,30
1698,388,357,31
1698,406,356,50
1698,357,319,38
1698,118,105,13
1698,428,338,90
1698,435,340,95
1698,609,476,133
1698,385,343,42
1698,260,230,30
1698,118,105,13
1698,118,105,13
1698,118,105,13
1698,260,230,30
1698,250,200,50
1698,323,288,35
1698,244,209,35
1698,260,230,30
1698,142,114,28
1698,243,195,48
1698,243,195,48
1698,174,160,14
1698,286,229,57
1698,260,207,53
1698,83,70,13
1698,181,155,26
1698,360,345,15
1698,678,515,163
1698,151,151,0
1698,316,241,75
1698,63,50,13
1699,256,200,56
1699,291,221,70
1699,246,197,49
1699,243,195,48
1699,50,39,11
1699,406,356,50
1699,406,356,50
1699,402,322,80
1699,346,277,69
1699,260,230,30
1699,260,230,30
1699,480,180,300
1699,243,195,48
1699,341,304,37
1699,243,195,48
1699,247,220,27
1699,600,250,350
1699,49,49,0
1699,243,195,48
1699,148,125,23
1699,118,105,13
1699,244,209,35
1699,118,105,13
1699,357,319,38
1699,375,260,115
1699,375,300,75
1699,182,146,36
1699,108,92,16
1699,121,108,13
1699,148,131,17
1699,468,403,65
1699,363,311,52
1699,499,400,99
1699,107,95,12
1699,260,230,30
1699,260,230,30
1699,118,105,13
1699,292,260,32
1699,182,163,19
1699,136,124,12
1699,179,158,21
1699,388,357,31
1699,381,331,50
1699,534,417,117
1699,468,403,65
1699,468,403,65
1699,118,105,13
1699,494,400,94
1699,301,272,29
1699,122,105,17
1699,244,209,35
1699,406,356,50
1699,500,180,320
1699,412,330,82
1699,196,174,22
1699,118,105,13
1699,118,105,13
1699,118,105,13
1699,243,195,48
1699,149,126,23
1699,773,619,154
1699,576,461,115
1699,414,350,64
1699,372,314,58
1699,292,260,32
1699,316,241,75
1699,620,523,97
1699,406,356,50
1699,388,357,31
1699,118,105,13
1699,140,125,15
1699,400,358,42
1699,119,106,13
1699,499,400,99
1699,164,131,33
1699,181,145,36
1699,125,100,25
1699,237,190,47
1699,499,400,99
1699,248,194,54
1699,260,230,30
1699,118,105,13
1699,260,230,30
1699,118,105,13
1699,430,130,300
1699,118,105,13
1699,118,105,13
1699,265,212,53
1699,91,80,11
1699,550,464,86
1699,260,230,30
1699,260,230,30
1699,118,105,13
1699,260,230,30
1699,260,230,30
1699,638,568,70
1699,548,531,17
1699,363,311,52
1699,450,386,64
1699,260,230,30
1699,400,343,57
1699,363,311,52
1699,410,346,64
1699,450,325,125
1699,118,105,13
1699,260,230,30
1699,260,230,30
1699,118,105,13
1699,541,433,108
1699,250,200,50
1699,486,389,97
1699,134,107,27
1699,381,331,50
1699,303,210,93
1699,363,311,52
1699,118,105,13
1699,521,353,168
1699,468,403,65
1699,121,108,13
1699,243,195,48
1699,243,195,48
1699,243,195,48
1699,243,195,48
1699,167,127,40
1699,629,530,99
1699,573,500,73
1699,482,102,380
1699,237,190,47
1699,243,195,48
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,148,131,17
1700,312,250,62
1700,462,370,92
1700,127,99,28
1700,218,170,48
1700,174,136,38
1700,112,100,12
1700,243,195,48
1700,169,149,20
1700,600,466,134
1700,450,382,68
1700,191,149,42
1700,260,230,30
1700,260,230,30
1700,118,105,13
1700,118,105,13
1700,260,230,30
1700,260,230,30
1700,542,238,304
1700,381,331,50
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,552,492,60
1700,376,301,75
1700,606,376,230
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,182,146,36
1700,243,195,48
1700,121,108,13
1700,169,150,19
1700,152,122,30
1700,424,340,84
1700,562,450,112
1700,132,118,14
1700,65,52,13
1700,474,380,94
1700,162,130,32
1700,318,270,48
1700,286,229,57
1700,160,128,32
1700,160,128,32
1700,237,190,47
1700,431,299,132
1700,274,190,84
1700,141,113,28
1700,175,140,35
1700,869,619,250
1700,363,311,52
1700,468,403,65
1700,468,403,65
1700,171,153,18
1700,189,162,27
1700,363,311,52
1700,363,311,52
1700,375,285,90
1700,52,46,6
1700,187,150,37
1700,91,73,18
1700,79,63,16
1700,363,311,52
1700,118,105,13
1700,260,230,30
1700,260,230,30
1700,260,230,30
1700,260,230,30
1700,260,230,30
1700,118,105,13
1700,260,230,30
1700,260,230,30
1700,260,230,30
1700,381,331,50
1700,468,403,65
1700,525,450,75
1700,208,167,41
1700,294,230,64
1700,162,130,32
1700,458,252,206
1700,223,170,53
1700,750,500,250
1700,468,403,65
1700,468,403,65
1700,43,37,6
1700,132,103,29
1700,243,195,48
1700,243,195,48
1700,205,164,41
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,357,319,38
1700,118,105,13
1700,363,311,52
1700,122,108,14
1700,140,112,28
1700,243,195,48
1700,115,98,17
1700,118,105,13
1700,234,207,27
1700,244,209,35
1700,244,209,35
1700,260,230,30
1700,321,251,70
1700,118,105,13
1700,243,195,48
1700,243,195,48
1700,132,106,26
1700,430,234,196
1700,118,105,13
1700,260,230,30
1700,260,230,30
1700,244,209,35
1700,244,209,35
1700,528,465,63
1700,250,200,50
1700,226,181,45
1700,260,230,30
1700,260,230,30
1700,118,105,13
1700,503,379,124
1700,492,394,98
1700,248,199,49
1700,234,207,27
1700,159,142,17
1700,26,23,3
1700,700,619,81
1700,275,220,55
1700,31,25,6
1700,400,320,80
1700,145,109,36
1700,251,174,77
1700,188,188,0
1700,111,71,40
1700,571,565,6
1700,244,209,35
1700,118,105,13
1700,400,377,23
1700,484,433,51
1700,357,319,38
1700,415,355,60
1700,118,105,13
1700,151,135,16
1700,243,195,48
1700,224,200,24
1700,243,195,48
1700,148,131,17
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,148,131,17
1700,132,92,40
1700,243,195,48
1700,243,195,48
1700,243,195,48
1700,82,72,10
1701,169,135,34
1701,237,190,47
1701,237,190,47
1701,237,190,47
1701,237,190,47
1701,112,90,22
1701,59,47,12
1701,231,185,46
1701,237,190,47
1701,121,108,13
1701,237,190,47
1701,237,190,47
1701,600,458,142
1701,237,190,47
1701,148,131,17
1701,237,190,47
1701,237,190,47
1701,237,190,47
1701,101,90,11
1701,272,228,44
1701,450,379,71
1701,177,150,27
1701,118,105,13
1701,118,105,13
1701,74,63,11
1701,196,174,22
1701,200,180,20
1701,80,64,16
1701,212,170,42
1701,221,191,30
1701,414,353,61
1701,323,259,64
1701,357,319,38
1701,118,105,13
1701,118,105,13
1701,124,105,19
1701,103,91,12
1701,103,91,12
1701,153,137,16
1701,357,319,38
1701,225,180,45
1701,224,204,20
1701,61,55,6
1701,169,135,34
1701,121,107,14
1701,152,135,17
1701,417,373,44
1701,287,230,57
1701,156,138,18
1701,313,250,63
1701,237,190,47
1701,142,114,28
1701,122,98,24
1701,467,374,93
1701,57,46,11
1701,300,240,60
1701,400,320,80
1701,505,439,66
1701,674,642,32
1701,524,477,47
1701,57,46,11
1701,84,75,9
1701,130,117,13
1701,386,351,35
1701,296,269,27
1701,260,230,30
1701,260,230,30
1701,260,230,30
1701,260,230,30
1701,237,190,47
1701,118,105,13
1701,260,230,30
1701,260,230,30
1701,260,230,30
1701,327,262,65
1701,166,133,33
1701,94,83,11
1701,91,73,18
1701,187,150,37
1701,79,63,16
1701,125,100,25
1701,212,193,19
1701,500,400,100
1701,566,495,71
1701,526,421,105
1701,420,386,34
1701,118,105,13
1701,244,209,35
1701,244,209,35
1701,617,528,89
1701,118,105,13
1701,182,154,28
1701,237,190,47
1701,177,142,35
1701,274,250,24
1701,499,400,99
1701,64,57,7
1701,237,190,47
1701,98,87,11
1701,131,105,26
1701,160,143,17
1701,102,82,20
1701,71,63,8
1701,200,196,4
1701,499,430,69
1701,260,230,30
1701,260,230,30
1701,260,230,30
1701,260,230,30
1701,118,105,13
1701,118,105,13
1701,129,129,0
1701,244,209,35
1701,617,528,89
1701,84,71,13
1701,50,40,10
1701,300,240,60
1701,74,59,15
1701,275,220,55
1701,49,39,10
1701,86,69,17
1701,109,87,22
1701,287,230,57
1701,255,204,51
1701,499,400,99
1701,416,333,83
1701,260,230,30
1701,118,105,13
1701,260,230,30
1701,260,230,30
1701,118,105,13
1701,118,105,13
1701,120,115,5
1701,350,183,167
1701,108,92,16
1701,365,315,50
1701,690,671,19
1701,496,468,28
1701,762,647,115
1701,664,459,205
1701,60,52,8
1701,153,132,21
1701,468,403,65
1701,211,192,19
1701,500,429,71
1701,395,316,79
1701,96,77,19
1701,154,123,31
1701,237,190,47
1701,325,260,65
1701,237,190,47
1701,143,127,16
1701,310,248,62
1701,90,80,10
1701,91,73,18
1701,7,6,1
1701,64,58,6
1701,91,73,18
1701,200,160,40
1701,286,229,57
1701,310,248,62
1701,157,126,31
1701,115,105,10
1701,167,134,33
1701,176,141,35
1701,562,450,112
1701,85,72,13
1701,655,500,155
1701,655,500,155
1701,237,190,47
1701,100,80,20
1701,152,122,30
1701,237,190,47
1701,190,152,38
1701,109,87,22
1701,127,117,10
1701,131,100,31
1701,142,108,34
1701,438,400,38
1701,211,169,42
1701,337,270,67
1701,146,117,29
1701,237,190,47
1701,187,150,37
1701,162,130,32
1701,312,250,62
1701,277,222,55
1701,250,200,50
1701,237,190,47
1701,121,108,13
1701,237,190,47
1701,327,262,65
1701,230,184,46
1701,356,303,53
1701,75,57,18
1701,192,154,38
1701,71,60,11
1701,260,230,30
1701,209,178,31
1702,237,190,47
1702,272,228,44
1702,363,311,52
1702,237,190,47
1702,363,311,52
1702,468,403,65
1702,350,300,50
1702,102,88,14
1702,185,141,44
1702,273,236,37
1702,273,236,37
1702,439,386,53
1702,363,311,52
1702,468,403,65
1702,393,300,93
1702,197,150,47
1702,118,105,13
1702,260,230,30
1702,189,151,38
1702,250,200,50
1702,292,260,32
1702,400,320,80
1702,11,9,2
1702,345,276,69
1702,260,230,30
1702,387,331,56
1702,28,25,3
1702,316,241,75
1702,75,60,15
1702,97,82,15
1702,260,230,30
1702,260,230,30
1702,203,180,23
1702,237,190,47
1702,148,112,36
1702,97,78,19
1702,260,230,30
1702,460,395,65
1702,118,105,13
1702,127,110,17
1702,316,241,75
1702,251,212,39
1702,200,169,31
1702,118,105,13
1702,260,230,30
1702,260,230,30
1702,260,230,30
1702,316,241,75
1702,238,217,21
1702,524,477,47
1702,196,157,39
1702,137,118,19
1702,208,174,34
1702,245,196,49
1702,260,230,30
1702,230,184,46
1702,260,230,30
1702,260,230,30
1702,260,230,30
1702,118,105,13
1702,118,105,13
1702,273,236,37
1702,260,230,30
1702,357,319,38
1702,85,68,17
1702,386,351,35
1702,449,360,89
1702,237,190,47
1702,254,216,38
1702,237,190,47
1702,473,409,64
1702,386,351,35
1702,386,351,35
1702,237,190,47
1702,549,468,81
1702,451,390,61
1702,144,136,8
1702,292,222,70
1702,193,165,28
1702,650,568,82
1702,292,260,32
1702,260,230,30
1702,492,412,80
1702,157,126,31
1702,350,280,70
1702,129,129,0
1702,125,100,25
1702,179,143,36
1702,238,181,57
1702,237,190,47
1702,121,108,13
1702,237,190,47
1702,237,190,47
1702,244,204,40
1702,83,69,14
1702,115,92,23
1702,139,120,19
1702,106,85,21
1702,125,100,25
1702,295,236,59
1702,100,81,19
1702,194,155,39
1702,332,269,63
1702,237,190,47
1702,237,190,47
1702,237,190,47
1702,52,42,10
1702,289,191,98
1702,112,90,22
1702,156,125,31
1702,600,486,114
1702,179,143,36
1702,121,108,13
1702,440,400,40
1702,227,190,37
1702,275,230,45
1702,145,116,29
1702,20,16,4
1702,531,425,106
1702,175,140,35
1702,330,300,30
1702,383,320,63
1702,350,280,70
1702,200,152,48
1702,164,136,28
1702,61,49,12
1702,154,137,17
1702,237,190,47
1702,237,190,47
1702,237,190,47
1702,149,132,17
1702,64,57,7
1702,549,440,109
1702,175,140,35
1702,176,117,59
1702,67,60,7
1702,258,196,62
1702,157,139,18
1702,237,190,47
1702,237,190,47
1702,237,190,47
1702,247,211,36
1703,118,105,13
1703,114,92,22
1703,121,97,24
1703,148,131,17
1703,352,311,41
1703,301,260,41
1703,159,140,19
1703,261,223,38
1703,301,272,29
1703,258,207,51
1703,292,260,32
1703,200,170,30
1703,357,319,38
1703,260,230,30
1703,260,230,30
1703,313,239,74
1703,513,379,134
1703,301,253,48
1703,431,363,68
1703,228,208,20
1703,126,108,18
1703,273,236,37
1703,40,31,9
1703,199,181,18
1703,143,140,3
1703,186,161,25
1703,178,163,15
1703,260,230,30
1703,247,200,47
1703,542,502,40
1703,127,105,22
1703,316,241,75
1703,244,209,35
1703,161,161,0
1703,118,105,13
1703,260,230,30
1703,260,230,30
1703,571,458,113
1703,185,148,37
1703,273,236,37
1703,187,150,37
1703,367,313,54
1703,179,150,29
1703,136,114,22
1703,172,152,20
1703,322,269,53
1703,325,281,44
1703,202,169,33
1703,260,230,30
1703,102,80,22
1703,624,487,137
1703,400,313,87
1703,382,298,84
1703,400,313,87
1703,237,190,47
1703,273,236,37
1703,185,155,30
1703,299,250,49
1703,368,295,73
1703,237,190,47
1703,273,236,37
1703,260,230,30
1703,118,105,13
1703,406,356,50
1703,260,230,30
1703,237,190,47
1703,386,351,35
1703,260,230,30
1703,260,230,30
1703,260,230,30
1703,400,313,87
1703,275,251,24
1703,162,124,38
1703,500,107,393
1703,163,144,19
1703,155,128,27
1703,72,64,8
1703,109,97,12
1703,148,131,17
1703,260,230,30
1703,260,230,30
1703,260,230,30
1703,118,105,13
1703,492,412,80
1703,118,105,13
1703,237,190,47
1703,237,190,47
1704,237,190,47
1704,293,235,58
1704,260,230,30
1704,260,230,30
1704,260,230,30
1704,260,230,30
1704,260,230,30
1704,406,356,50
1704,302,229,73
1704,327,262,65
1704,237,190,47
1704,237,190,47
1704,175,140,35
1704,187,150,37
1704,237,190,47
1704,124,110,14
1704,264,200,64
1704,300,256,44
1704,305,280,25
1704,262,231,31
1704,450,370,80
1704,118,105,13
1704,200,162,38
1704,100,81,19
1704,303,230,73
1704,252,218,34
1704,305,260,45
1704,157,126,31
1704,538,450,88
1704,220,184,36
1704,199,166,33
1704,239,200,39
1704,112,64,48
1704,260,230,30
1704,118,105,13
1704,260,230,30
1704,292,260,32
1704,300,250,50
1704,370,320,50
1704,325,260,65
1704,513,486,27
1704,316,241,75
1704,316,241,75
1704,316,241,75
1704,624,568,56
1704,171,158,13
1704,170,130,40
1704,237,190,47
1704,148,131,17
1704,148,131,17
1704,401,174,227
1704,199,172,27
1704,349,295,54
1704,455,320,135
1704,359,339,20
1704,490,482,8
1704,181,140,41
1704,510,466,44
1704,400,378,22
1704,382,321,61
1704,160,143,17
1704,260,230,30
1704,260,230,30
1704,301,272,29
1704,260,230,30
1704,260,230,30
1704,4,3,1
1704,100,81,19
1704,126,109,17
1704,300,288,12
1704,200,173,27
1704,200,173,27
1704,236,180,56
1704,187,150,37
1704,332,286,46
1704,300,273,27
1704,380,290,90
1704,281,235,46
1704,260,230,30
1704,517,404,113
1704,265,219,46
1704,366,224,142
1704,316,241,75
1704,118,105,13
1704,292,260,32
1704,386,351,35
1704,260,230,30
1705,237,190,47
1705,167,138,29
1705,237,190,47
1705,237,190,47
1705,600,536,64
1705,304,238,66
1705,118,105,13
1705,118,105,13
1705,164,131,33
1705,237,190,47
1705,380,304,76
1705,112,90,22
1705,397,318,79
1705,563,288,275
1705,300,259,41
1705,163,144,19
1705,400,313,87
1705,361,292,69
1705,167,140,27
1705,275,230,45
1705,249,220,29
1705,156,130,26
1705,234,196,38
1705,557,435,122
1705,197,174,23
1705,97,87,10
1705,140,80,60
1705,316,241,75
1705,590,539,51
1705,550,400,150
1705,248,214,34
1705,260,230,30
1705,260,230,30
1705,260,230,30
1705,180,176,4
1705,244,209,35
1705,550,290,260
1705,615,556,59
1705,260,230,30
1705,357,319,38
1705,260,230,30
1705,260,230,30
1705,260,230,30
1705,118,105,13
1705,260,230,30
1705,260,230,30
1705,492,412,80
1705,260,230,30
1705,260,230,30
1705,209,197,12
1705,110,88,22
1705,188,166,22
1705,468,403,65
1705,826,5,821
1705,474,417,57
1705,474,417,57
1705,148,131,17
1705,239,200,39
1705,215,180,35
1705,350,267,83
1705,102,82,20
1705,112,90,22
1705,292,234,58
1705,362,290,72
1705,160,142,18
1705,700,14,686
1705,667,562,105
1705,237,190,47
1705,771,667,104
1705,187,150,37
1705,112,90,22
1705,452,395,57
1705,473,399,74
1705,548,421,127
1705,635,615,20
1705,311,269,42
1705,348,284,64
1705,316,241,75
1705,316,241,75
1705,30,24,6
1705,141,113,28
1705,136,109,27
1705,112,90,22
1705,136,120,16
1705,300,240,60
1705,524,420,104
1705,185,148,37
1705,80,53,27
1705,239,214,25
1705,273,236,37
1705,272,220,52
1705,222,180,42
1705,316,241,75
1706,375,300,75
1706,294,260,34
1706,330,285,45
1706,430,358,72
1706,221,200,21
1706,237,190,47
1706,260,230,30
1706,524,511,13
1706,547,394,153
1706,260,230,30
1706,316,241,75
1706,118,105,13
1706,294,260,34
1706,118,105,13
1706,118,105,13
1706,118,105,13
1706,190,177,13
1706,335,280,55
1706,160,141,19
1706,273,236,37
1706,297,262,35
1706,339,310,29
1706,260,230,30
1706,118,105,13
1706,260,230,30
1706,357,319,38
1706,260,230,30
1706,260,230,30
1706,364,315,49
1706,118,105,13
1706,260,230,30
1706,357,319,38
1706,301,272,29
1706,532,460,72
1706,489,423,66
1706,184,140,44
1706,260,230,30
1706,260,230,30
1706,203,154,49
1706,695,640,55
1706,448,382,66
1706,260,230,30
1706,394,336,58
1706,154,133,21
1706,155,134,21
1706,115,92,23
1706,198,176,22
1706,629,536,93
1706,705,650,55
1706,184,163,21
1706,210,180,30
1706,563,510,53
1706,237,190,47
1706,160,158,2
1706,277,245,32
1706,93,82,11
1706,172,152,20
1706,150,120,30
1706,245,196,49
1706,118,105,13
1706,118,105,13
1706,273,236,37
1706,140,126,14
1706,237,190,47
1706,237,190,47
1706,370,315,55
1706,317,280,37
1706,237,190,47
1706,237,190,47
1706,104,101,3
1706,237,190,47
1706,58,44,14
1706,260,230,30
1706,237,190,47
1706,237,190,47
1706,448,400,48
1707,118,105,13
1707,260,230,30
1707,260,230,30
1707,260,230,30
1707,260,230,30
1707,534,507,27
1707,118,105,13
1707,536,428,108
1707,260,230,30
1707,118,105,13
1707,118,105,13
1707,118,105,13
1707,260,230,30
1707,118,105,13
1707,260,230,30
1707,189,173,16
1707,215,190,25
1707,316,241,75
1707,536,457,79
1707,447,393,54
1707,200,186,14
1707,118,105,13
1707,118,105,13
1707,357,319,38
1707,260,230,30
1707,260,230,30
1707,559,471,88
1707,118,105,13
1707,118,105,13
1707,118,105,13
1707,78,75,3
1707,169,140,29
1707,382,290,92
1707,299,265,34
1707,121,115,6
1707,222,199,23
1707,260,230,30
1707,740,601,139
1707,301,272,29
1707,213,171,42
1707,558,439,119
1707,260,230,30
1707,510,495,15
1707,571,311,260
1707,237,190,47
1707,361,302,59
1707,260,230,30
1707,260,230,30
1707,260,230,30
1707,260,230,30
1707,275,209,66
1707,260,230,30
1707,118,105,13
1707,193,160,33
1707,487,420,67
1707,348,291,57
1707,300,240,60
1707,328,299,29
1707,116,93,23
1707,118,105,13
1707,492,412,80
1707,129,129,0
1707,260,230,30
1707,237,190,47
1707,262,226,36
1707,151,121,30
1707,118,105,13
1707,159,133,26
1707,568,480,88
1707,231,204,27
1707,310,274,36
1707,94,92,2
1707,202,165,37
1707,406,356,50
1707,208,158,50
1707,226,200,26
1707,446,340,106
1707,374,330,44
1707,112,90,22
1707,121,108,13
1707,136,120,16
1707,181,160,21
1707,148,131,17
1707,316,241,75
1707,118,105,13
1708,550,413,137
1708,476,369,107
1708,338,242,96
1708,140,123,17
1708,531,500,31
1708,273,236,37
1708,550,507,43
1708,120,110,10
1708,301,287,14
1708,300,283,17
1708,250,235,15
1708,180,145,35
1708,603,525,78
1708,142,114,28
1708,317,274,43
1708,147,130,17
1708,371,297,74
1708,362,290,72
1708,124,110,14
1708,64,51,13
1708,142,118,24
1708,299,264,35
1708,283,252,31
1708,480,400,80
1708,480,350,130
1708,258,228,30
1708,121,97,24
1708,250,200,50
1708,577,440,137
1708,404,349,55
1708,694,556,138
1708,352,351,1
1708,162,130,32
1708,162,130,32
1708,83,75,8
1708,208,174,34
1708,374,330,44
1708,294,260,34
1708,370,296,74
1708,260,230,30
1708,237,190,47
1708,112,106,6
1708,153,130,23
1708,121,108,13
1708,602,550,52
1708,316,241,75
1708,316,241,75
1708,156,135,21
1708,440,380,60
1708,260,212,48
1708,103,84,19
1708,187,150,37
1708,149,119,30
1708,89,79,10
1708,237,190,47
1708,260,230,30
1708,260,230,30
1708,200,166,34
1708,237,190,47
1708,351,310,41
1708,200,162,38
1708,237,190,47
1708,237,190,47
1708,28,21,7
1708,118,105,13
1708,260,230,30
1708,118,105,13
1708,357,319,38
1708,260,230,30
1708,260,230,30
1708,129,129,0
1708,613,463,150
1708,187,150,37
1708,312,250,62
1708,237,190,47
1708,339,299,40
1708,224,187,37
1708,509,450,59
1708,258,216,42
1708,425,171,254
1708,680,573,107
1708,524,477,47
1708,260,230,30
1708,118,105,13
1708,260,230,30
1708,118,105,13
1708,196,183,13
1708,295,236,59
1708,237,190,47
1708,742,648,94
1708,102,87,15
1708,237,190,47
1708,673,496,177
1708,260,230,30
1708,118,105,13
1708,260,230,30
1708,119,100,19
1708,119,100,19
1708,260,230,30
1708,118,105,13
1708,450,265,185
1709,357,298,59
1709,260,230,30
1709,260,230,30
1709,523,464,59
1709,45,34,11
1709,260,230,30
1709,152,120,32
1709,169,150,19
1709,450,343,107
1709,65,52,13
1709,491,435,56
1709,120,104,16
1709,384,330,54
1709,237,190,47
1709,404,350,54
1709,333,253,80
1709,307,284,23
1709,163,159,4
1709,166,133,33
1709,255,213,42
1709,275,210,65
1709,118,105,13
1709,129,129,0
1709,118,105,13
1709,592,452,140
1709,388,357,31
1709,316,241,75
1709,112,85,27
