Year of arrival at port of disembarkation,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Total died
1681,529,470,42.55,36.81,20.64,59
1681,320,175,35.44,50.63,13.92,145
1681,232,130,33.85,59.23,6.92,102
1681,155,118,40.66,56.04,3.3,37
1681,500,321,49.5,39.8,10.7,179
1681,492,410,43.43,40.15,16.41,82
1681,400,170,30.12,62.05,7.83,230
1681,550,504,42.86,52.86,4.29,46
1681,83,77,37.33,57.33,5.33,6
1681,469,407,37.56,46.77,15.67,62
1682,672,511,52.84,31.12,16.05,161
1682,315,300,41.14,42.81,16.05,15
1682,280,163,35.22,57.23,7.55,117
1682,395,296,42.37,37.97,19.66,99
1682,160,70,55.71,44.29,0.0,90
1682,686,521,44.44,36.73,18.83,165
1682,467,355,45.43,42.48,12.09,112
1682,100,90,70.46,27.27,2.27,10
1682,200,180,66.28,33.72,0.0,20
1682,218,178,39.31,52.6,8.09,40
1682,146,119,29.35,58.7,11.96,27
1682,164,114,32.71,58.88,8.41,50
1683,448,221,43.52,42.49,13.99,227
1683,531,231,40.19,33.18,26.64,300
1683,260,175,41.14,42.86,16.0,85
1683,196,176,50.29,36.26,13.45,20
1683,170,147,40.38,34.62,25.0,23
1684,270,234,44.9,36.74,18.37,36
1684,529,459,45.53,29.63,24.84,70
1684,651,495,52.73,36.36,10.91,156
1684,130,110,79.23,16.92,3.85,20
1684,90,74,76.06,21.13,2.82,16
1684,311,216,40.28,48.61,11.11,95
1684,343,235,35.74,44.26,20.0,108
1684,330,134,48.51,42.54,8.96,196
1684,153,136,42.75,45.04,12.21,17
1684,230,215,67.44,29.77,2.79,15
1684,530,443,53.42,41.71,4.88,87
1684,610,580,54.58,24.7,20.72,30
1684,320,256,48.44,40.62,10.94,64
1684,200,139,46.56,39.7,13.74,61
1684,397,306,61.54,25.08,13.38,91
1684,437,427,47.56,20.24,32.2,10
1685,258,179,51.72,37.93,10.34,79
1685,384,262,36.63,50.0,13.37,122
1685,373,289,40.91,50.0,9.09,84
1685,268,204,37.93,45.81,16.26,64
1685,310,242,40.08,59.92,0.0,68
1686,267,111,24.59,60.66,14.75,156
1686,153,146,69.86,27.4,2.74,7
1686,651,321,56.63,34.95,8.41,330
1686,217,192,80.18,17.05,2.76,25
1686,117,103,76.07,21.37,2.56,14
1686,77,68,77.92,11.69,10.39,9
1686,457,347,39.18,29.47,31.35,110
1686,35,30,70.0,20.0,10.0,5
1686,218,166,45.51,40.38,14.1,52
1686,267,203,48.42,37.9,13.68,64
1686,535,394,49.15,33.33,17.51,141
1686,624,474,40.13,38.41,21.46,150
1686,582,442,50.12,34.34,15.54,140
1686,200,187,71.89,22.7,5.4,13
