Year of arrival at port of disembarkation,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Total died
1723,400,316,49.75,25.0,25.25,84
1723,250,229,38.43,17.9,43.67,21
1723,69,63,18.18,3.64,78.18,6
1723,457,356,64.08,9.51,26.41,101
1723,300,283,56.89,12.01,31.1,17
1723,150,140,75.35,9.86,14.79,10
1723,346,296,81.94,14.72,3.34,50
1723,227,201,60.35,28.19,11.45,26
1723,234,231,53.3,46.7,0.0,3
1723,105,90,60.0,40.0,0.0,15
1723,138,118,75.42,16.95,7.63,20
1723,388,357,92.99,4.46,2.55,31
1723,339,209,55.75,37.76,6.49,130
1723,282,203,70.94,14.29,14.78,79
1723,400,366,41.18,17.37,41.46,34
1723,300,299,80.52,0.87,18.62,1
1723,201,198,9.09,64.14,26.77,3
1723,63,63,61.9,31.75,6.35,0
1723,200,197,72.13,8.2,19.67,3
1723,350,271,71.14,13.71,15.14,79
1723,100,95,76.14,22.73,4.4,5
1723,278,263,61.78,33.33,4.89,15
1723,221,192,79.19,20.81,0.0,29
1724,60,49,63.04,19.56,17.39,11
1724,205,150,78.67,13.33,8.0,55
1724,414,410,66.92,12.88,20.2,4
1724,556,520,53.06,27.88,19.06,36
1724,605,535,56.87,27.12,16.01,70
1724,415,351,64.86,35.14,20.8,64
1724,371,357,63.98,32.56,3.46,14
1724,403,349,64.9,35.1,0.0,54
1724,50,47,34.09,40.91,25.0,3
1724,411,332,72.29,23.8,3.92,79
1724,150,147,82.67,12.0,5.33,3
1724,625,575,78.16,21.84,0.0,50
1724,351,338,45.02,43.2,11.78,13
1724,300,256,59.46,27.03,13.51,44
1724,269,239,98.15,1.85,0.0,30
1725,166,152,80.72,12.05,7.23,14
1725,525,501,69.66,18.16,12.18,24
1725,482,466,63.52,27.47,9.01,16
1725,49,44,59.09,20.46,20.46,5
1725,210,207,33.33,61.35,5.31,3
1725,300,294,82.99,12.58,4.42,6
1725,100,99,50.0,19.0,31.0,1
1725,501,478,45.02,13.64,41.34,23
1725,540,509,78.18,21.82,28.88,31
1725,220,205,63.59,22.56,13.85,15
1725,292,260,68.63,15.69,15.69,32
1725,325,306,48.3,21.77,29.93,19
1725,500,465,48.6,18.06,33.33,35
1725,643,611,60.56,17.35,22.1,32
1726,747,676,61.39,21.89,16.72,71
1726,286,225,56.47,18.97,24.57,61
1726,50,44,84.0,8.0,8.0,6
1726,643,569,44.11,12.65,43.23,74
1726,120,110,96.36,3.64,0.0,10
1726,235,227,53.45,46.55,19.82,8
1726,40,35,85.0,7.5,7.5,5
1727,748,682,74.7,16.37,9.06,66
1727,606,550,4.88,12.2,82.93,56
1727,75,69,94.67,0.0,5.33,6
1727,166,153,47.56,26.83,26.51,13
1727,152,125,100.0,0.0,0.0,27
1727,161,140,39.56,60.44,35.0,21
1727,171,157,96.49,0.58,2.92,14
1727,283,207,52.66,31.4,15.94,76
1727,238,217,57.6,29.03,13.36,21
1728,47,32,38.3,36.17,25.53,15
1728,295,254,62.6,12.6,24.8,41
1728,99,91,72.73,4.04,23.23,8
1728,400,356,87.5,10.0,2.5,44
1728,767,672,73.36,17.11,9.52,95
1729,778,602,67.87,18.03,14.1,176
1729,779,602,50.17,27.08,22.76,177
1729,126,126,50.0,35.71,14.29,0
1729,224,219,45.09,19.08,35.84,5
1730,455,345,42.86,22.8,34.35,110
1730,195,172,23.2,48.0,28.8,23
1730,470,450,38.36,13.3,48.34,20
1730,113,104,77.88,0.0,22.12,9
1730,200,183,72.13,15.3,12.57,17
1730,361,327,79.71,20.29,0.0,34
